inference_time,model
4.1171908378601074e-05,model2d
4.1171908378601074e-05,model2d
4.1171908378601074e-05,model2d
4.1171908378601074e-05,model2d
4.1171908378601074e-05,model2d
4.1171908378601074e-05,model2d
4.1171908378601074e-05,model2d
4.1171908378601074e-05,model2d
4.1171908378601074e-05,model2d
4.1171908378601074e-05,model2d
4.1171908378601074e-05,model2d
4.1171908378601074e-05,model2d
4.1171908378601074e-05,model2d
4.1171908378601074e-05,model2d
4.1171908378601074e-05,model2d
4.1171908378601074e-05,model2d
3.759562969207764e-05,model2d
3.759562969207764e-05,model2d
3.759562969207764e-05,model2d
3.759562969207764e-05,model2d
3.759562969207764e-05,model2d
3.759562969207764e-05,model2d
3.759562969207764e-05,model2d
3.759562969207764e-05,model2d
3.759562969207764e-05,model2d
3.759562969207764e-05,model2d
3.759562969207764e-05,model2d
3.759562969207764e-05,model2d
3.759562969207764e-05,model2d
3.759562969207764e-05,model2d
3.759562969207764e-05,model2d
3.759562969207764e-05,model2d
3.413856029510498e-05,model2d
3.413856029510498e-05,model2d
3.413856029510498e-05,model2d
3.413856029510498e-05,model2d
3.413856029510498e-05,model2d
3.413856029510498e-05,model2d
3.413856029510498e-05,model2d
3.413856029510498e-05,model2d
3.413856029510498e-05,model2d
3.413856029510498e-05,model2d
3.413856029510498e-05,model2d
3.413856029510498e-05,model2d
3.413856029510498e-05,model2d
3.413856029510498e-05,model2d
3.413856029510498e-05,model2d
3.413856029510498e-05,model2d
4.078447818756104e-05,model2d
4.078447818756104e-05,model2d
4.078447818756104e-05,model2d
4.078447818756104e-05,model2d
4.078447818756104e-05,model2d
4.078447818756104e-05,model2d
4.078447818756104e-05,model2d
4.078447818756104e-05,model2d
4.078447818756104e-05,model2d
4.078447818756104e-05,model2d
4.078447818756104e-05,model2d
4.078447818756104e-05,model2d
4.078447818756104e-05,model2d
4.078447818756104e-05,model2d
4.078447818756104e-05,model2d
4.078447818756104e-05,model2d
3.802776336669922e-05,model2d
3.802776336669922e-05,model2d
3.802776336669922e-05,model2d
3.802776336669922e-05,model2d
3.802776336669922e-05,model2d
3.802776336669922e-05,model2d
3.802776336669922e-05,model2d
3.802776336669922e-05,model2d
3.802776336669922e-05,model2d
3.802776336669922e-05,model2d
3.802776336669922e-05,model2d
3.802776336669922e-05,model2d
3.802776336669922e-05,model2d
3.802776336669922e-05,model2d
3.802776336669922e-05,model2d
3.802776336669922e-05,model2d
4.912912845611572e-05,model2d
4.912912845611572e-05,model2d
4.912912845611572e-05,model2d
4.912912845611572e-05,model2d
4.912912845611572e-05,model2d
4.912912845611572e-05,model2d
4.912912845611572e-05,model2d
4.912912845611572e-05,model2d
4.912912845611572e-05,model2d
4.912912845611572e-05,model2d
4.912912845611572e-05,model2d
4.912912845611572e-05,model2d
4.912912845611572e-05,model2d
4.912912845611572e-05,model2d
4.912912845611572e-05,model2d
4.912912845611572e-05,model2d
9.559094905853271e-05,model2d
9.559094905853271e-05,model2d
9.559094905853271e-05,model2d
9.559094905853271e-05,model2d
9.559094905853271e-05,model2d
9.559094905853271e-05,model2d
9.559094905853271e-05,model2d
9.559094905853271e-05,model2d
9.559094905853271e-05,model2d
9.559094905853271e-05,model2d
9.559094905853271e-05,model2d
9.559094905853271e-05,model2d
9.559094905853271e-05,model2d
9.559094905853271e-05,model2d
9.559094905853271e-05,model2d
9.559094905853271e-05,model2d
8.703768253326416e-05,model2d
8.703768253326416e-05,model2d
8.703768253326416e-05,model2d
8.703768253326416e-05,model2d
8.703768253326416e-05,model2d
